sample	unit	fq1	fq2	parhap
2x_LOP868_004	KFRAG_00003H	KFRAG_00003H-1.fq	KFRAG_00003H-2.fq	haploid
2x_LOP868_064	KFRAG_00028H	KFRAG_00028H-1.fq	KFRAG_00028H-2.fq	haploid
2x_LOP868_305	KFRAG_00092H	KFRAG_00092H-1.fq	KFRAG_00092H-2.fq	haploid
4x_LOP868	SRR6123032	SRR6123032_1.fastq.gz	SRR6123032_2.fastq.gz	mother
2x_IVP101	SRR6123183	SRR6123183_1.fastq.gz	SRR6123183_2.fastq.gz	inducer
2x_PL4	SRR6123031	SRR6123031_1.fastq.gz	SRR6123031_2.fastq.gz	inducer
